sector,fiscal_year,month,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions 
southwest border,2010,january,34784,1305,NA
southwest border,2010,february,42790,1695,NA
southwest border,2010,march,61361,2364,NA
southwest border,2010,april,55237,2039,NA
southwest border,2010,may,47045,2028,NA
southwest border,2010,june,32955,1635,NA
southwest border,2010,july,25609,1167,NA
southwest border,2010,august,26415,1350,NA
southwest border,2010,september,22796,1126,NA
southwest border,2010,yearly total,447731,18411,NA
spokane,2010,october,35,0,NA
spokane,2010,november,21,0,NA
spokane,2010,december,14,0,NA
spokane,2010,january,19,0,NA
spokane,2010,february,15,0,NA
spokane,2010,march,27,0,NA
spokane,2010,april,25,0,NA
spokane,2010,may,34,0,NA
spokane,2010,june,33,1,NA
spokane,2010,july,42,0,NA
spokane,2010,august,51,1,NA
spokane,2010,september,40,0,NA
spokane,2010,yearly total,356,2,NA
swanton,2010,october,71,0,NA
swanton,2010,november,101,0,NA
swanton,2010,december,68,0,NA
swanton,2010,january,58,0,NA
swanton,2010,february,128,0,NA
swanton,2010,march,132,0,NA
swanton,2010,april,97,1,NA
swanton,2010,may,136,2,NA
swanton,2010,june,124,0,NA
swanton,2010,july,233,4,NA
swanton,2010,august,197,2,NA
swanton,2010,september,77,1,NA
swanton,2010,yearly total,1422,10,NA
tucson,2010,october,23197,767,NA
tucson,2010,november,16986,546,NA
tucson,2010,december,10907,433,NA
tucson,2010,january,16122,571,NA
tucson,2010,february,21266,752,NA
tucson,2010,march,31197,1066,NA
tucson,2010,april,28579,879,NA
tucson,2010,may,22572,844,NA
tucson,2010,june,13160,660,NA
tucson,2010,july,10303,523,NA
tucson,2010,august,9280,501,NA
tucson,2010,september,8633,456,NA
tucson,2010,yearly total,212202,7998,NA
yuma,2010,october,582,22,NA
yuma,2010,november,649,20,NA
yuma,2010,december,711,24,NA
yuma,2010,january,586,25,NA
yuma,2010,february,819,31,NA
yuma,2010,march,1059,25,NA
yuma,2010,april,732,18,NA
yuma,2010,may,608,11,NA
yuma,2010,june,447,11,NA
yuma,2010,july,401,10,NA
yuma,2010,august,262,13,NA
yuma,2010,september,260,6,NA
yuma,2010,yearly total,7116,216,NA
big bend,2009,october,539,NA,NA
big bend,2009,november,459,NA,NA
big bend,2009,december,472,NA,NA
big bend,2009,january,533,NA,NA
big bend,2009,february,689,NA,NA
big bend,2009,march,590,NA,NA
big bend,2009,april,458,NA,NA
big bend,2009,may,511,NA,NA
big bend,2009,june,569,NA,NA
big bend,2009,july,484,NA,NA
big bend,2009,august,575,NA,NA
big bend,2009,september,481,NA,NA
big bend,2009,yearly total,6360,NA,NA
blaine,2009,october,103,NA,NA
blaine,2009,november,93,NA,NA
blaine,2009,december,68,NA,NA
blaine,2009,january,96,NA,NA
blaine,2009,february,68,NA,NA
blaine,2009,march,85,NA,NA
blaine,2009,april,61,NA,NA
blaine,2009,may,65,NA,NA
blaine,2009,june,39,NA,NA
blaine,2009,july,49,NA,NA
blaine,2009,august,67,NA,NA
blaine,2009,september,49,NA,NA
blaine,2009,yearly total,843,NA,NA
buffalo,2009,october,254,NA,NA
buffalo,2009,november,210,NA,NA
buffalo,2009,december,201,NA,NA
buffalo,2009,january,176,NA,NA
buffalo,2009,february,194,NA,NA
buffalo,2009,march,220,NA,NA
buffalo,2009,april,225,NA,NA
buffalo,2009,may,263,NA,NA
buffalo,2009,june,250,NA,NA
buffalo,2009,july,198,NA,NA
buffalo,2009,august,240,NA,NA
buffalo,2009,september,241,NA,NA
buffalo,2009,yearly total,2672,NA,NA
coastal border,2009,october,842,NA,NA
coastal border,2009,november,603,NA,NA
coastal border,2009,december,653,NA,NA
coastal border,2009,january,687,NA,NA
coastal border,2009,february,686,NA,NA
coastal border,2009,march,853,NA,NA
coastal border,2009,april,750,NA,NA
coastal border,2009,may,582,NA,NA
coastal border,2009,june,657,NA,NA
coastal border,2009,july,671,NA,NA
coastal border,2009,august,687,NA,NA
coastal border,2009,september,699,NA,NA
coastal border,2009,yearly total,8370,NA,NA
del rio,2009,october,1321,NA,NA
del rio,2009,november,1064,NA,NA
del rio,2009,december,872,NA,NA
del rio,2009,january,1604,NA,NA
del rio,2009,february,1908,NA,NA
del rio,2009,march,2231,NA,NA
del rio,2009,april,1619,NA,NA
del rio,2009,may,1426,NA,NA
del rio,2009,june,1304,NA,NA
del rio,2009,july,1383,NA,NA
del rio,2009,august,1321,NA,NA
del rio,2009,september,1029,NA,NA
del rio,2009,yearly total,17082,NA,NA
detroit,2009,october,120,NA,NA
detroit,2009,november,62,NA,NA
detroit,2009,december,63,NA,NA
detroit,2009,january,78,NA,NA
detroit,2009,february,118,NA,NA
detroit,2009,march,99,NA,NA
detroit,2009,april,97,NA,NA
detroit,2009,may,91,NA,NA
detroit,2009,june,80,NA,NA
detroit,2009,july,117,NA,NA
detroit,2009,august,122,NA,NA
detroit,2009,september,110,NA,NA
detroit,2009,yearly total,1157,NA,NA
el centro,2009,october,2619,NA,NA
el centro,2009,november,2176,NA,NA
el centro,2009,december,1691,NA,NA
el centro,2009,january,2969,NA,NA
el centro,2009,february,2904,NA,NA
el centro,2009,march,4141,NA,NA
el centro,2009,april,3314,NA,NA
el centro,2009,may,2955,NA,NA
el centro,2009,june,2811,NA,NA
el centro,2009,july,2449,NA,NA
el centro,2009,august,2767,NA,NA
el centro,2009,september,2725,NA,NA
el centro,2009,yearly total,33521,NA,NA
el paso,2009,october,1469,NA,NA
el paso,2009,november,1153,NA,NA
el paso,2009,december,866,NA,NA
el paso,2009,january,1344,NA,NA
el paso,2009,february,1435,NA,NA
el paso,2009,march,1508,NA,NA
el paso,2009,april,1344,NA,NA
el paso,2009,may,1238,NA,NA
el paso,2009,june,1208,NA,NA
el paso,2009,july,1160,NA,NA
el paso,2009,august,1181,NA,NA
el paso,2009,september,1093,NA,NA
el paso,2009,yearly total,14999,NA,NA
grand forks,2009,october,52,NA,NA
grand forks,2009,november,53,NA,NA
grand forks,2009,december,37,NA,NA
grand forks,2009,january,29,NA,NA
grand forks,2009,february,26,NA,NA
grand forks,2009,march,29,NA,NA
grand forks,2009,april,22,NA,NA
grand forks,2009,may,41,NA,NA
grand forks,2009,june,35,NA,NA
grand forks,2009,july,50,NA,NA
grand forks,2009,august,49,NA,NA
grand forks,2009,september,49,NA,NA
grand forks,2009,yearly total,472,NA,NA
havre,2009,october,31,NA,NA
havre,2009,november,21,NA,NA
havre,2009,december,11,NA,NA
havre,2009,january,29,NA,NA
havre,2009,february,30,NA,NA
havre,2009,march,23,NA,NA
havre,2009,april,30,NA,NA
havre,2009,may,21,NA,NA
havre,2009,june,31,NA,NA
havre,2009,july,22,NA,NA
havre,2009,august,18,NA,NA
havre,2009,september,16,NA,NA
havre,2009,yearly total,283,NA,NA
houlton,2009,october,1,NA,NA
houlton,2009,november,8,NA,NA
houlton,2009,december,13,NA,NA
houlton,2009,january,3,NA,NA
houlton,2009,february,0,NA,NA
houlton,2009,march,4,NA,NA
houlton,2009,april,4,NA,NA
houlton,2009,may,4,NA,NA
houlton,2009,june,2,NA,NA
houlton,2009,july,8,NA,NA
houlton,2009,august,4,NA,NA
houlton,2009,september,8,NA,NA
houlton,2009,yearly total,59,NA,NA
laredo,2009,october,2709,NA,NA
laredo,2009,november,2465,NA,NA
laredo,2009,december,1932,NA,NA
laredo,2009,january,3970,NA,NA
laredo,2009,february,3718,NA,NA
laredo,2009,march,4538,NA,NA
laredo,2009,april,4168,NA,NA
laredo,2009,may,3722,NA,NA
laredo,2009,june,3283,NA,NA
laredo,2009,july,3512,NA,NA
laredo,2009,august,3671,NA,NA
laredo,2009,september,2881,NA,NA
laredo,2009,yearly total,40569,NA,NA
livermore,2009,october,NA,NA,NA
livermore,2009,november,NA,NA,NA
livermore,2009,december,NA,NA,NA
livermore,2009,january,NA,NA,NA
livermore,2009,february,NA,NA,NA
livermore,2009,march,NA,NA,NA
livermore,2009,april,NA,NA,NA
livermore,2009,may,NA,NA,NA
livermore,2009,june,NA,NA,NA
livermore,2009,july,NA,NA,NA
livermore,2009,august,NA,NA,NA
livermore,2009,september,NA,NA,NA
livermore,2009,yearly total,NA,NA,NA
miami,2009,october,342,NA,NA
miami,2009,november,302,NA,NA
miami,2009,december,317,NA,NA
miami,2009,january,401,NA,NA
miami,2009,february,383,NA,NA
miami,2009,march,382,NA,NA
miami,2009,april,407,NA,NA
miami,2009,may,314,NA,NA
miami,2009,june,343,NA,NA
miami,2009,july,413,NA,NA
miami,2009,august,358,NA,NA
miami,2009,september,463,NA,NA
miami,2009,yearly total,4425,NA,NA
nationwide total,2009,october,44438,NA,NA
nationwide total,2009,november,33954,NA,NA
nationwide total,2009,december,27121,NA,NA
nationwide total,2009,january,45656,NA,NA
nationwide total,2009,february,50428,NA,NA
nationwide total,2009,march,68740,NA,NA
nationwide total,2009,april,59771,NA,NA
nationwide total,2009,may,52078,NA,NA
nationwide total,2009,june,47254,NA,NA
nationwide total,2009,july,45102,NA,NA
nationwide total,2009,august,44851,NA,NA
nationwide total,2009,september,36648,NA,NA
nationwide total,2009,yearly total,556041,NA,NA
new orleans,2009,october,386,NA,NA
new orleans,2009,november,267,NA,NA
new orleans,2009,december,309,NA,NA
new orleans,2009,january,259,NA,NA
new orleans,2009,february,282,NA,NA
new orleans,2009,march,429,NA,NA
new orleans,2009,april,317,NA,NA
new orleans,2009,may,257,NA,NA
new orleans,2009,june,264,NA,NA
new orleans,2009,july,253,NA,NA
new orleans,2009,august,271,NA,NA
new orleans,2009,september,233,NA,NA
new orleans,2009,yearly total,3527,NA,NA
northern border,2009,october,658,NA,NA
northern border,2009,november,571,NA,NA
northern border,2009,december,521,NA,NA
northern border,2009,january,467,NA,NA
northern border,2009,february,531,NA,NA
northern border,2009,march,545,NA,NA
northern border,2009,april,528,NA,NA
northern border,2009,may,612,NA,NA
northern border,2009,june,553,NA,NA
northern border,2009,july,588,NA,NA
northern border,2009,august,642,NA,NA
northern border,2009,september,590,NA,NA
northern border,2009,yearly total,6806,NA,NA
ramey,2009,october,114,NA,NA
ramey,2009,november,34,NA,NA
ramey,2009,december,27,NA,NA
ramey,2009,january,27,NA,NA
ramey,2009,february,21,NA,NA
ramey,2009,march,42,NA,NA
ramey,2009,april,26,NA,NA
ramey,2009,may,11,NA,NA
ramey,2009,june,50,NA,NA
ramey,2009,july,5,NA,NA
ramey,2009,august,58,NA,NA
ramey,2009,september,3,NA,NA
ramey,2009,yearly total,418,NA,NA
rio grande valley,2009,october,5092,NA,NA
rio grande valley,2009,november,4259,NA,NA
rio grande valley,2009,december,3341,NA,NA
rio grande valley,2009,january,4575,NA,NA
rio grande valley,2009,february,5207,NA,NA
rio grande valley,2009,march,5479,NA,NA
rio grande valley,2009,april,6107,NA,NA
rio grande valley,2009,may,5293,NA,NA
rio grande valley,2009,june,5094,NA,NA
rio grande valley,2009,july,5509,NA,NA
rio grande valley,2009,august,6025,NA,NA
rio grande valley,2009,september,5008,NA,NA
rio grande valley,2009,yearly total,60989,NA,NA
san diego,2009,october,10036,NA,NA
san diego,2009,november,7954,NA,NA
san diego,2009,december,6552,NA,NA
san diego,2009,january,10246,NA,NA
san diego,2009,february,11678,NA,NA
san diego,2009,march,16472,NA,NA
san diego,2009,april,12618,NA,NA
san diego,2009,may,11000,NA,NA
san diego,2009,june,10278,NA,NA
san diego,2009,july,8655,NA,NA
san diego,2009,august,6743,NA,NA
san diego,2009,september,6489,NA,NA
san diego,2009,yearly total,118721,NA,NA
southwest border,2009,october,42938,NA,NA
southwest border,2009,november,32780,NA,NA
southwest border,2009,december,25947,NA,NA
southwest border,2009,january,44502,NA,NA
southwest border,2009,february,49211,NA,NA
southwest border,2009,march,67342,NA,NA
southwest border,2009,april,58493,NA,NA
southwest border,2009,may,50884,NA,NA
southwest border,2009,june,46044,NA,NA
southwest border,2009,july,43843,NA,NA
southwest border,2009,august,43522,NA,NA
southwest border,2009,september,35359,NA,NA
southwest border,2009,yearly total,540865,NA,NA
spokane,2009,october,32,NA,NA
spokane,2009,november,44,NA,NA
spokane,2009,december,22,NA,NA
spokane,2009,january,20,NA,NA
spokane,2009,february,18,NA,NA
spokane,2009,march,14,NA,NA
spokane,2009,april,15,NA,NA
spokane,2009,may,16,NA,NA
spokane,2009,june,17,NA,NA
spokane,2009,july,19,NA,NA
spokane,2009,august,38,NA,NA
spokane,2009,september,22,NA,NA
spokane,2009,yearly total,277,NA,NA
swanton,2009,october,65,NA,NA
swanton,2009,november,80,NA,NA
swanton,2009,december,106,NA,NA
swanton,2009,january,36,NA,NA
swanton,2009,february,77,NA,NA
swanton,2009,march,71,NA,NA
swanton,2009,april,74,NA,NA
swanton,2009,may,111,NA,NA
swanton,2009,june,99,NA,NA
swanton,2009,july,125,NA,NA
swanton,2009,august,104,NA,NA
swanton,2009,september,95,NA,NA
swanton,2009,yearly total,1043,NA,NA
tucson,2009,october,18814,NA,NA
tucson,2009,november,12844,NA,NA
tucson,2009,december,9862,NA,NA
tucson,2009,january,18649,NA,NA
tucson,2009,february,20941,NA,NA
tucson,2009,march,31432,NA,NA
tucson,2009,april,28072,NA,NA
tucson,2009,may,24083,NA,NA
tucson,2009,june,20842,NA,NA
tucson,2009,july,20146,NA,NA
tucson,2009,august,20810,NA,NA
tucson,2009,september,15178,NA,NA
tucson,2009,yearly total,241673,NA,NA
yuma,2009,october,339,NA,NA
yuma,2009,november,406,NA,NA
yuma,2009,december,359,NA,NA
yuma,2009,january,612,NA,NA
yuma,2009,february,731,NA,NA
yuma,2009,march,951,NA,NA
yuma,2009,april,793,NA,NA
yuma,2009,may,656,NA,NA
yuma,2009,june,655,NA,NA
yuma,2009,july,545,NA,NA
yuma,2009,august,429,NA,NA
yuma,2009,september,475,NA,NA
yuma,2009,yearly total,6951,NA,NA
big bend,2008,october,386,NA,NA
big bend,2008,november,388,NA,NA
big bend,2008,december,451,NA,NA
big bend,2008,january,350,NA,NA
big bend,2008,february,612,NA,NA
big bend,2008,march,613,NA,NA
big bend,2008,april,527,NA,NA
big bend,2008,may,586,NA,NA
big bend,2008,june,369,NA,NA
big bend,2008,july,416,NA,NA
big bend,2008,august,415,NA,NA
big bend,2008,september,278,NA,NA
big bend,2008,yearly total,5391,NA,NA
blaine,2008,october,52,NA,NA
blaine,2008,november,75,NA,NA
blaine,2008,december,40,NA,NA
blaine,2008,january,91,NA,NA
blaine,2008,february,69,NA,NA
blaine,2008,march,108,NA,NA
blaine,2008,april,101,NA,NA
blaine,2008,may,67,NA,NA
blaine,2008,june,75,NA,NA
blaine,2008,july,88,NA,NA
blaine,2008,august,82,NA,NA
blaine,2008,september,106,NA,NA
blaine,2008,yearly total,954,NA,NA
buffalo,2008,october,382,NA,NA
buffalo,2008,november,290,NA,NA
buffalo,2008,december,295,NA,NA
buffalo,2008,january,228,NA,NA
buffalo,2008,february,260,NA,NA
buffalo,2008,march,304,NA,NA
buffalo,2008,april,233,NA,NA
buffalo,2008,may,222,NA,NA
buffalo,2008,june,260,NA,NA
buffalo,2008,july,259,NA,NA
buffalo,2008,august,291,NA,NA
buffalo,2008,september,315,NA,NA
buffalo,2008,yearly total,3339,NA,NA
coastal border,2008,october,1025,NA,NA
coastal border,2008,november,965,NA,NA
coastal border,2008,december,1034,NA,NA
coastal border,2008,january,1158,NA,NA
coastal border,2008,february,856,NA,NA
coastal border,2008,march,1119,NA,NA
coastal border,2008,april,1144,NA,NA
coastal border,2008,may,784,NA,NA
coastal border,2008,june,1011,NA,NA
coastal border,2008,july,601,NA,NA
coastal border,2008,august,636,NA,NA
coastal border,2008,september,562,NA,NA
coastal border,2008,yearly total,10895,NA,NA
del rio,2008,october,1679,NA,NA
del rio,2008,november,1059,NA,NA
del rio,2008,december,945,NA,NA
del rio,2008,january,1961,NA,NA
del rio,2008,february,2462,NA,NA
del rio,2008,march,2667,NA,NA
del rio,2008,april,2286,NA,NA
del rio,2008,may,1745,NA,NA
del rio,2008,june,1708,NA,NA
del rio,2008,july,1482,NA,NA
del rio,2008,august,1618,NA,NA
del rio,2008,september,1149,NA,NA
del rio,2008,yearly total,20761,NA,NA
detroit,2008,october,100,NA,NA
detroit,2008,november,63,NA,NA
detroit,2008,december,68,NA,NA
detroit,2008,january,79,NA,NA
detroit,2008,february,71,NA,NA
detroit,2008,march,95,NA,NA
detroit,2008,april,64,NA,NA
detroit,2008,may,113,NA,NA
detroit,2008,june,83,NA,NA
detroit,2008,july,73,NA,NA
detroit,2008,august,84,NA,NA
detroit,2008,september,68,NA,NA
detroit,2008,yearly total,961,NA,NA
el centro,2008,october,3230,NA,NA
el centro,2008,november,2412,NA,NA
el centro,2008,december,2000,NA,NA
el centro,2008,january,3839,NA,NA
el centro,2008,february,4095,NA,NA
el centro,2008,march,4604,NA,NA
el centro,2008,april,5090,NA,NA
el centro,2008,may,3860,NA,NA
el centro,2008,june,3161,NA,NA
el centro,2008,july,2726,NA,NA
el centro,2008,august,2995,NA,NA
el centro,2008,september,2949,NA,NA
el centro,2008,yearly total,40961,NA,NA
el paso,2008,october,3605,NA,NA
el paso,2008,november,2648,NA,NA
el paso,2008,december,2015,NA,NA
el paso,2008,january,3470,NA,NA
el paso,2008,february,3944,NA,NA
el paso,2008,march,3129,NA,NA
el paso,2008,april,2808,NA,NA
el paso,2008,may,2035,NA,NA
el paso,2008,june,1811,NA,NA
el paso,2008,july,1634,NA,NA
el paso,2008,august,1615,NA,NA
el paso,2008,september,1598,NA,NA
el paso,2008,yearly total,30312,NA,NA
grand forks,2008,october,67,NA,NA
grand forks,2008,november,91,NA,NA
grand forks,2008,december,41,NA,NA
grand forks,2008,january,24,NA,NA
grand forks,2008,february,38,NA,NA
grand forks,2008,march,22,NA,NA
grand forks,2008,april,41,NA,NA
grand forks,2008,may,30,NA,NA
grand forks,2008,june,52,NA,NA
grand forks,2008,july,41,NA,NA
grand forks,2008,august,38,NA,NA
grand forks,2008,september,56,NA,NA
grand forks,2008,yearly total,541,NA,NA
havre,2008,october,63,NA,NA
havre,2008,november,121,NA,NA
havre,2008,december,13,NA,NA
havre,2008,january,33,NA,NA
havre,2008,february,19,NA,NA
havre,2008,march,3,NA,NA
havre,2008,april,23,NA,NA
havre,2008,may,28,NA,NA
havre,2008,june,33,NA,NA
havre,2008,july,21,NA,NA
havre,2008,august,38,NA,NA
havre,2008,september,32,NA,NA
havre,2008,yearly total,427,NA,NA
houlton,2008,october,15,NA,NA
houlton,2008,november,5,NA,NA
houlton,2008,december,2,NA,NA
houlton,2008,january,17,NA,NA
houlton,2008,february,2,NA,NA
houlton,2008,march,0,NA,NA
houlton,2008,april,5,NA,NA
houlton,2008,may,3,NA,NA
houlton,2008,june,1,NA,NA
houlton,2008,july,7,NA,NA
houlton,2008,august,14,NA,NA
houlton,2008,september,10,NA,NA
houlton,2008,yearly total,81,NA,NA
laredo,2008,october,3825,NA,NA
laredo,2008,november,2658,NA,NA
laredo,2008,december,1969,NA,NA
laredo,2008,january,3907,NA,NA
laredo,2008,february,5001,NA,NA
laredo,2008,march,5355,NA,NA
laredo,2008,april,4904,NA,NA
laredo,2008,may,3733,NA,NA
laredo,2008,june,3432,NA,NA
laredo,2008,july,3066,NA,NA
laredo,2008,august,3310,NA,NA
laredo,2008,september,2498,NA,NA
laredo,2008,yearly total,43658,NA,NA
livermore,2008,october,NA,NA,NA
livermore,2008,november,NA,NA,NA
livermore,2008,december,NA,NA,NA
livermore,2008,january,NA,NA,NA
livermore,2008,february,NA,NA,NA
livermore,2008,march,NA,NA,NA
livermore,2008,april,NA,NA,NA
livermore,2008,may,NA,NA,NA
livermore,2008,june,NA,NA,NA
livermore,2008,july,NA,NA,NA
livermore,2008,august,NA,NA,NA
livermore,2008,september,NA,NA,NA
livermore,2008,yearly total,NA,NA,NA
miami,2008,october,553,NA,NA
miami,2008,november,496,NA,NA
miami,2008,december,685,NA,NA
miami,2008,january,456,NA,NA
miami,2008,february,539,NA,NA
miami,2008,march,699,NA,NA
miami,2008,april,634,NA,NA
miami,2008,may,433,NA,NA
miami,2008,june,519,NA,NA
miami,2008,july,277,NA,NA
miami,2008,august,335,NA,NA
miami,2008,september,394,NA,NA
miami,2008,yearly total,6020,NA,NA
nationwide total,2008,october,53179,NA,NA
nationwide total,2008,november,43985,NA,NA
nationwide total,2008,december,33376,NA,NA
nationwide total,2008,january,60750,NA,NA
nationwide total,2008,february,74910,NA,NA
nationwide total,2008,march,91523,NA,NA
nationwide total,2008,april,93269,NA,NA
nationwide total,2008,may,70582,NA,NA
nationwide total,2008,june,55551,NA,NA
nationwide total,2008,july,50795,NA,NA
nationwide total,2008,august,49917,NA,NA
nationwide total,2008,september,45988,NA,NA
nationwide total,2008,yearly total,723825,NA,NA
new orleans,2008,october,382,NA,NA
new orleans,2008,november,429,NA,NA
new orleans,2008,december,329,NA,NA
new orleans,2008,january,650,NA,NA
new orleans,2008,february,305,NA,NA
new orleans,2008,march,365,NA,NA
new orleans,2008,april,462,NA,NA
new orleans,2008,may,318,NA,NA
new orleans,2008,june,439,NA,NA
new orleans,2008,july,296,NA,NA
new orleans,2008,august,251,NA,NA
new orleans,2008,september,77,NA,NA
new orleans,2008,yearly total,4303,NA,NA
northern border,2008,october,815,NA,NA
northern border,2008,november,811,NA,NA
northern border,2008,december,540,NA,NA
northern border,2008,january,564,NA,NA
northern border,2008,february,571,NA,NA
northern border,2008,march,634,NA,NA
northern border,2008,april,559,NA,NA
northern border,2008,may,565,NA,NA
northern border,2008,june,686,NA,NA
northern border,2008,july,722,NA,NA
northern border,2008,august,740,NA,NA
northern border,2008,september,718,NA,NA
northern border,2008,yearly total,7925,NA,NA
ramey,2008,october,90,NA,NA
ramey,2008,november,40,NA,NA
ramey,2008,december,20,NA,NA
ramey,2008,january,52,NA,NA
ramey,2008,february,12,NA,NA
ramey,2008,march,55,NA,NA
ramey,2008,april,48,NA,NA
ramey,2008,may,33,NA,NA
ramey,2008,june,53,NA,NA
ramey,2008,july,28,NA,NA
ramey,2008,august,50,NA,NA
ramey,2008,september,91,NA,NA
ramey,2008,yearly total,572,NA,NA
rio grande valley,2008,october,5989,NA,NA
rio grande valley,2008,november,4695,NA,NA
rio grande valley,2008,december,3974,NA,NA
rio grande valley,2008,january,5216,NA,NA
rio grande valley,2008,february,6880,NA,NA
rio grande valley,2008,march,8543,NA,NA
rio grande valley,2008,april,9417,NA,NA
rio grande valley,2008,may,7967,NA,NA
rio grande valley,2008,june,6308,NA,NA
rio grande valley,2008,july,5562,NA,NA
rio grande valley,2008,august,6103,NA,NA
rio grande valley,2008,september,4819,NA,NA
rio grande valley,2008,yearly total,75473,NA,NA
san diego,2008,october,9801,NA,NA
san diego,2008,november,9163,NA,NA
san diego,2008,december,7773,NA,NA
san diego,2008,january,12877,NA,NA
san diego,2008,february,15091,NA,NA
san diego,2008,march,18869,NA,NA
san diego,2008,april,20569,NA,NA
san diego,2008,may,16015,NA,NA
san diego,2008,june,12395,NA,NA
san diego,2008,july,13127,NA,NA
san diego,2008,august,13734,NA,NA
san diego,2008,september,12976,NA,NA
san diego,2008,yearly total,162390,NA,NA
southwest border,2008,october,51339,NA,NA
southwest border,2008,november,42209,NA,NA
southwest border,2008,december,31802,NA,NA
southwest border,2008,january,59028,NA,NA
southwest border,2008,february,73483,NA,NA
southwest border,2008,march,89770,NA,NA
southwest border,2008,april,91566,NA,NA
southwest border,2008,may,69233,NA,NA
southwest border,2008,june,53854,NA,NA
southwest border,2008,july,49472,NA,NA
southwest border,2008,august,48541,NA,NA
southwest border,2008,september,44708,NA,NA
southwest border,2008,yearly total,705005,NA,NA
spokane,2008,october,30,NA,NA
spokane,2008,november,40,NA,NA
spokane,2008,december,17,NA,NA
spokane,2008,january,18,NA,NA
spokane,2008,february,27,NA,NA
spokane,2008,march,15,NA,NA
spokane,2008,april,20,NA,NA
spokane,2008,may,10,NA,NA
spokane,2008,june,34,NA,NA
spokane,2008,july,38,NA,NA
spokane,2008,august,34,NA,NA
spokane,2008,september,57,NA,NA
spokane,2008,yearly total,340,NA,NA
swanton,2008,october,106,NA,NA
swanton,2008,november,126,NA,NA
swanton,2008,december,64,NA,NA
swanton,2008,january,74,NA,NA
swanton,2008,february,85,NA,NA
swanton,2008,march,87,NA,NA
swanton,2008,april,72,NA,NA
swanton,2008,may,92,NA,NA
swanton,2008,june,148,NA,NA
swanton,2008,july,195,NA,NA
swanton,2008,august,159,NA,NA
swanton,2008,september,74,NA,NA
swanton,2008,yearly total,1282,NA,NA
tucson,2008,october,21730,NA,NA
tucson,2008,november,18231,NA,NA
tucson,2008,december,11721,NA,NA
tucson,2008,january,26347,NA,NA
tucson,2008,february,34309,NA,NA
tucson,2008,march,45239,NA,NA
tucson,2008,april,45442,NA,NA
tucson,2008,may,32845,NA,NA
tucson,2008,june,24289,NA,NA
tucson,2008,july,21093,NA,NA
tucson,2008,august,18406,NA,NA
tucson,2008,september,18044,NA,NA
tucson,2008,yearly total,317696,NA,NA
yuma,2008,october,1094,NA,NA
yuma,2008,november,955,NA,NA
yuma,2008,december,954,NA,NA
yuma,2008,january,1061,NA,NA
yuma,2008,february,1089,NA,NA
yuma,2008,march,751,NA,NA
yuma,2008,april,523,NA,NA
yuma,2008,may,447,NA,NA
yuma,2008,june,381,NA,NA
yuma,2008,july,366,NA,NA
yuma,2008,august,345,NA,NA
yuma,2008,september,397,NA,NA
yuma,2008,yearly total,8363,NA,NA
big bend,2007,october,368,NA,NA
big bend,2007,november,442,NA,NA
big bend,2007,december,383,NA,NA
big bend,2007,january,556,NA,NA
big bend,2007,february,532,NA,NA
big bend,2007,march,677,NA,NA
big bend,2007,april,602,NA,NA
big bend,2007,may,407,NA,NA
big bend,2007,june,362,NA,NA
big bend,2007,july,439,NA,NA
big bend,2007,august,403,NA,NA
big bend,2007,september,365,NA,NA
big bend,2007,yearly total,5536,NA,NA
blaine,2007,october,61,NA,NA
blaine,2007,november,36,NA,NA
blaine,2007,december,62,NA,NA
blaine,2007,january,61,NA,NA
blaine,2007,february,59,NA,NA
blaine,2007,march,87,NA,NA
blaine,2007,april,50,NA,NA
blaine,2007,may,67,NA,NA
blaine,2007,june,82,NA,NA
blaine,2007,july,67,NA,NA
blaine,2007,august,60,NA,NA
blaine,2007,september,57,NA,NA
blaine,2007,yearly total,749,NA,NA
buffalo,2007,october,141,NA,NA
buffalo,2007,november,155,NA,NA
buffalo,2007,december,104,NA,NA
buffalo,2007,january,123,NA,NA
buffalo,2007,february,125,NA,NA
buffalo,2007,march,170,NA,NA
buffalo,2007,april,167,NA,NA
buffalo,2007,may,178,NA,NA
buffalo,2007,june,219,NA,NA
buffalo,2007,july,223,NA,NA
buffalo,2007,august,233,NA,NA
buffalo,2007,september,353,NA,NA
buffalo,2007,yearly total,2191,NA,NA
coastal border,2007,october,1089,NA,NA
coastal border,2007,november,869,NA,NA
coastal border,2007,december,744,NA,NA
coastal border,2007,january,1117,NA,NA
coastal border,2007,february,1000,NA,NA
coastal border,2007,march,1004,NA,NA
coastal border,2007,april,864,NA,NA
coastal border,2007,may,957,NA,NA
coastal border,2007,june,1277,NA,NA
coastal border,2007,july,1015,NA,NA
coastal border,2007,august,834,NA,NA
coastal border,2007,september,916,NA,NA
coastal border,2007,yearly total,11686,NA,NA
del rio,2007,october,1618,NA,NA
del rio,2007,november,1701,NA,NA
del rio,2007,december,1051,NA,NA
del rio,2007,january,2044,NA,NA
del rio,2007,february,2421,NA,NA
del rio,2007,march,3314,NA,NA
del rio,2007,april,2699,NA,NA
del rio,2007,may,1858,NA,NA
del rio,2007,june,1579,NA,NA
del rio,2007,july,1862,NA,NA
del rio,2007,august,1440,NA,NA
del rio,2007,september,1333,NA,NA
del rio,2007,yearly total,22920,NA,NA
detroit,2007,october,106,NA,NA
detroit,2007,november,99,NA,NA
