sector,fiscal_year,number_of_agents
coastal border,2003,152
del rio,2003,950
detroit,2003,80
el centro,2003,755
el paso,2003,1188
grand forks,2003,53
havre,2003,52
houlton,2003,47
laredo,2003,1025
livermore,2003,7
miami,2003,65
nationwide total,2003,10717
new orleans,2003,44
northern border,2003,569
ramey,2003,36
rio grande valley,2003,1524
san diego,2003,1972
southwest border,2003,9840
spokane,2003,78
swanton,2003,97
tucson,2003,1838
yuma,2003,358
big bend,2002,253
blaine,2002,81
buffalo,2002,60
coastal border,2002,143
del rio,2002,972
detroit,2002,64
el centro,2002,683
el paso,2002,1122
grand forks,2002,45
havre,2002,42
houlton,2002,47
laredo,2002,969
livermore,2002,11
miami,2002,61
nationwide total,2002,10045
new orleans,2002,43
northern border,2002,492
ramey,2002,28
rio grande valley,2002,1484
san diego,2002,1807
southwest border,2002,9239
spokane,2002,63
swanton,2002,90
tucson,2002,1626
yuma,2002,323
big bend,2001,194
blaine,2001,48
buffalo,2001,37
coastal border,2001,148
del rio,2001,893
detroit,2001,38
el centro,2001,589
el paso,2001,1086
grand forks,2001,32
havre,2001,31
houlton,2001,33
laredo,2001,921
livermore,2001,12
miami,2001,58
nationwide total,2001,9821
new orleans,2001,41
northern border,2001,340
ramey,2001,37
rio grande valley,2001,1451
san diego,2001,2004
southwest border,2001,9147
spokane,2001,39
swanton,2001,82
tucson,2001,1686
yuma,2001,323
big bend,2000,196
blaine,2000,45
buffalo,2000,35
coastal border,2000,150
del rio,2000,758
detroit,2000,35
el centro,2000,502
el paso,2000,1036
grand forks,2000,25
havre,2000,29
houlton,2000,29
laredo,2000,806
livermore,2000,17
miami,2000,56
nationwide total,2000,9212
new orleans,2000,41
northern border,2000,306
ramey,2000,36
rio grande valley,2000,1368
san diego,2000,2053
southwest border,2000,8580
spokane,2000,34
swanton,2000,74
tucson,2000,1548
yuma,2000,313
big bend,1999,144
blaine,1999,48
buffalo,1999,35
coastal border,1999,152
del rio,1999,639
detroit,1999,35
el centro,1999,423
el paso,1999,957
grand forks,1999,28
havre,1999,25
houlton,1999,31
laredo,1999,685
livermore,1999,22
miami,1999,53
nationwide total,1999,8351
new orleans,1999,43
northern border,1999,311
ramey,1999,34
rio grande valley,1999,1166
san diego,1999,2136
southwest border,1999,7706
spokane,1999,35
swanton,1999,74
tucson,1999,1328
yuma,1999,228
big bend,1998,164
blaine,1998,38
buffalo,1998,35
coastal border,1998,161
del rio,1998,589
detroit,1998,28
el centro,1998,383
el paso,1998,972
grand forks,1998,28
havre,1998,25
houlton,1998,29
laredo,1998,628
livermore,1998,26
miami,1998,56
nationwide total,1998,7982
new orleans,1998,40
northern border,1998,289
ramey,1998,39
rio grande valley,1998,1107
san diego,1998,2274
southwest border,1998,7357
spokane,1998,36
swanton,1998,70
tucson,1998,1013
yuma,1998,227
big bend,1997,135
blaine,1997,38
buffalo,1997,33
coastal border,1997,146
del rio,1997,471
detroit,1997,27
el centro,1997,249
el paso,1997,918
grand forks,1997,28
havre,1997,25
houlton,1997,26
laredo,1997,451
livermore,1997,23
miami,1997,48
nationwide total,1997,6895
new orleans,1997,40
northern border,1997,267
ramey,1997,35
rio grande valley,1997,760
san diego,1997,2281
southwest border,1997,6315
spokane,1997,32
swanton,1997,58
tucson,1997,875
yuma,1997,175
big bend,1996,134
blaine,1996,45
buffalo,1996,32
coastal border,1996,155
del rio,1996,406
detroit,1996,28
el centro,1996,189
el paso,1996,841
grand forks,1996,31
havre,1996,28
houlton,1996,30
laredo,1996,415
livermore,1996,38
miami,1996,52
nationwide total,1996,5942
new orleans,1996,41
northern border,1996,292
ramey,1996,24
rio grande valley,1996,507
san diego,1996,1965
southwest border,1996,5333
spokane,1996,32
swanton,1996,66
tucson,1996,702
yuma,1996,174
big bend,1995,133
blaine,1995,49
buffalo,1995,30
coastal border,1995,153
del rio,1995,399
detroit,1995,29
el centro,1995,190
el paso,1995,746
grand forks,1995,28
havre,1995,29
houlton,1995,31
laredo,1995,421
livermore,1995,47
